pc11_state_id,pc11_district_id,ec_num_hosp_priv,ec_emp_hosp_priv,ec_num_hosp_gov,ec_emp_hosp_gov
01,001,6,86,35,539
01,002,3,113,39,859
01,003,2,15,3,350
01,004,1,7,13,488
01,005,4,25,25,345
01,006,5,41,40,766
01,007,9,83,28,575
01,008,17,253,49,1249
01,009,3,26,2,116
01,010,29,738,23,1503
01,011,3,21,11,208
01,012,5,51,24,665
01,013,2,10,11,195
01,014,7,74,41,1003
01,015,0,0,7,211
01,016,2,18,18,346
01,017,0,0,7,233
01,018,0,0,8,103
01,019,4,61,32,700
01,020,0,0,23,405
01,021,18,1410,39,1251
01,022,5,87,18,402
02,023,1,8,32,507
02,024,37,903,65,2538
02,025,0,0,10,120
02,026,17,405,17,271
02,027,33,581,60,1117
02,028,13,288,34,611
02,029,23,230,5,193
02,030,11,217,25,511
02,031,18,315,44,1010
02,032,4,45,22,370
02,033,15,492,48,3326
02,034,3,153,14,204
03,035,146,1674,117,1521
03,036,50,581,23,533
03,037,218,3778,55,870
03,038,87,1090,46,812
03,039,54,771,12,271
03,040,16,116,19,322
03,041,240,4801,34,818
03,042,79,703,37,520
03,043,111,1137,46,964
03,044,65,654,22,608
03,045,25,325,7,109
03,046,126,1984,52,1207
03,047,13,83,8,187
03,048,99,1880,52,626
03,049,137,2369,28,491
03,050,61,516,41,726
03,051,24,355,25,742
03,052,52,2422,18,190
03,053,76,662,63,853
03,054,7,89,31,444
04,055,30,1048,5,4570
05,056,4,124,16,162
05,057,2,18,14,315
05,058,4,63,6,116
05,059,8,75,27,374
05,060,84,4056,35,1086
05,061,11,94,40,538
05,062,8,151,19,249
05,063,0,0,9,204
05,064,8,66,30,455
05,065,1,15,8,93
05,066,35,733,38,950
05,067,88,2323,17,303
05,068,59,989,18,659
06,069,39,424,17,207
06,070,9,127,4,54
06,071,52,846,7,182
06,072,82,824,34,683
06,073,61,628,31,363
06,074,39,563,32,522
06,075,83,833,22,511
06,076,105,1608,41,697
06,077,70,720,36,654
06,078,86,897,26,363
06,079,105,771,20,205
06,080,126,2453,27,1507
06,081,36,340,28,468
06,082,18,400,28,454
06,083,3,60,17,229
06,084,21,228,1,5
06,085,82,892,23,543
06,086,66,2157,18,597
06,087,6,46,4,154
06,088,87,1499,7,77
06,089,49,669,5,95
07,090,85,2031,14,1339
07,091,57,643,11,1542
07,092,27,324,5,32
07,093,78,2145,6,63
07,094,41,2490,19,9107
07,095,62,2148,35,13279
07,096,123,4504,11,959
07,097,54,1025,12,525
07,098,75,3275,6,340
08,099,102,1139,51,1240
08,100,49,530,37,518
08,101,63,845,68,1237
08,102,28,375,70,978
08,103,14,208,93,1275
08,104,137,1845,87,1513
08,105,49,579,73,1120
08,106,28,181,30,366
08,107,16,156,19,267
08,108,20,224,31,490
08,109,39,341,30,392
08,110,428,8689,114,3094
08,111,112,1222,83,1267
08,112,48,510,95,1357
08,113,82,2041,64,802
08,114,8,107,10,81
08,115,43,352,55,586
08,116,43,391,45,566
08,117,41,1476,35,549
08,118,57,557,76,979
08,119,104,3060,76,1433
08,120,15,170,44,521
08,121,25,201,37,522
08,122,68,1386,74,1126
08,123,12,116,44,770
08,124,18,231,34,556
08,125,21,230,36,542
08,126,14,255,35,783
08,127,99,3246,46,713
08,128,17,253,38,660
08,129,12,278,37,1078
08,130,107,2411,102,2208
08,131,3,33,27,448
09,132,136,1077,40,282
09,133,138,1037,36,1401
09,134,83,969,15,146
09,135,118,1265,16,378
09,136,34,388,21,443
09,137,40,287,12,192
09,138,162,1915,26,580
09,139,26,255,9,105
09,140,117,1789,5,61
09,141,67,8757,15,442
09,142,69,774,29,487
09,143,81,679,16,247
09,144,38,315,15,150
09,145,77,781,16,227
09,146,243,2681,22,327
09,147,29,242,11,583
09,148,23,186,19,475
09,149,36,245,36,511
09,150,80,1408,15,129
09,151,34,393,16,311
09,152,58,488,22,397
09,153,19,163,15,306
09,154,89,1133,50,808
09,155,72,583,18,362
09,156,56,456,36,341
09,157,290,4181,57,6487
09,158,51,480,27,306
09,159,42,565,18,293
09,160,13,85,10,105
09,161,43,1539,16,177
09,162,19,137,10,143
09,163,25,190,12,93
09,164,240,4088,48,1915
09,165,14,112,7,94
09,166,93,1416,66,611
09,167,12,173,4,29
09,168,20,223,11,119
09,169,12,69,17,155
09,170,40,274,22,431
09,171,11,68,14,107
09,172,59,500,45,606
09,173,48,621,31,389
09,174,12,76,7,76
09,175,253,2643,33,344
09,176,38,408,24,305
09,177,2,13,0,0
09,178,22,180,14,144
09,179,44,618,29,373
09,180,24,169,25,504
09,181,5,117,7,106
09,182,32,304,20,155
09,183,30,188,32,238
09,184,15,85,18,312
09,185,53,835,14,501
09,186,32,260,12,108
09,187,15,169,10,130
09,188,127,1532,33,590
09,189,44,294,27,271
09,190,66,432,43,475
09,191,98,1021,28,255
09,192,59,469,32,585
09,193,97,617,45,402
09,194,84,904,38,524
09,195,22,134,11,83
09,196,56,375,9,163
09,197,173,2093,36,1472
09,198,9,84,3,20
09,199,23,172,11,94
09,200,25,209,15,377
09,201,26,243,16,133
09,202,8,63,5,50
10,203,58,469,17,358
10,204,39,395,13,134
10,205,4,28,4,52
10,206,67,548,18,283
10,207,31,244,17,252
10,208,16,113,5,34
10,209,8,48,8,137
10,210,29,206,0,0
10,211,28,174,8,188
10,212,16,329,12,195
10,213,20,198,16,232
10,214,16,130,6,141
10,215,41,381,10,153
10,216,121,1035,25,274
10,217,11,71,3,37
10,218,47,335,8,87
10,219,87,559,29,449
10,220,23,153,10,139
10,221,46,394,22,345
10,222,73,651,7,122
10,223,30,225,15,409
10,224,22,205,11,119
10,225,6,132,8,45
10,226,11,213,11,176
10,227,3,16,4,44
10,228,10,62,10,149
10,229,37,433,44,356
10,230,177,1508,38,832
10,231,27,201,6,52
10,232,43,479,14,138
10,233,26,198,12,230
10,234,89,1262,10,222
10,235,60,586,18,296
10,236,50,579,21,370
10,237,6,58,1,5
10,238,10,219,2,11
10,239,11,144,6,133
10,240,8,68,7,126
11,241,2,11,6,194
11,242,0,0,6,64
11,243,0,0,10,344
11,244,5,42,21,1075
12,245,0,0,4,27
12,246,3,154,6,88
12,247,0,0,4,35
12,248,0,0,1,5
12,249,1,7,4,22
12,250,1,7,17,378
12,251,13,151,28,654
12,252,0,0,8,103
12,253,4,169,3,149
12,254,1,7,1,130
12,255,0,0,3,91
12,256,1,9,1,5
12,257,0,0,1,77
12,258,1,5,0,0
12,259,2,14,8,392
12,260,0,0,3,58
13,261,3,17,18,136
13,262,4,90,14,452
13,263,4,41,20,306
13,264,12,112,35,369
13,265,22,790,10,64
13,266,2,14,29,184
13,267,1,5,7,86
13,268,1,46,1,34
13,269,2,42,9,112
13,270,3,145,6,103
13,271,2,15,14,156
14,272,2,29,20,204
14,273,2,12,11,69
14,274,8,125,16,287
14,275,5,31,15,236
14,276,14,193,13,101
14,277,18,530,21,263
14,278,9,384,13,250
14,279,6,94,12,99
14,280,1,7,7,90
15,281,1,6,11,186
15,282,1,21,7,151
15,283,11,881,26,969
15,284,1,10,11,181
15,285,0,0,7,124
15,286,3,38,9,260
15,287,3,69,4,41
15,288,1,44,1,39
16,289,12,794,53,2417
16,290,5,37,31,1041
16,291,2,19,19,453
16,292,4,47,32,1119
17,293,7,286,27,727
17,294,2,21,20,451
17,295,0,0,9,197
17,296,11,88,24,671
17,297,4,57,15,249
17,298,24,1857,33,1963
17,299,4,108,23,292
18,300,3,32,28,536
18,301,10,140,33,729
18,302,14,603,40,502
18,303,10,183,22,575
18,304,7,108,23,452
18,305,26,830,72,1277
18,306,48,850,67,1770
18,307,17,299,35,694
18,308,10,112,24,267
18,309,81,1427,31,775
18,310,72,1946,84,1781
18,311,44,751,78,1079
18,312,63,1162,60,1425
18,313,39,573,54,762
18,314,3,33,30,686
18,315,0,0,24,622
18,316,29,1136,47,442
18,317,6,60140,31,695
18,318,8,75,25,533
18,319,4,86,30,576
18,320,4,52,20,244
18,321,25,210,67,841
18,322,56,5537,84,2248
18,323,9,284,31,540
18,324,2,27,38,620
18,325,11,226,21,372
18,326,21,172,24,274
19,327,89,2442,68,1308
19,328,157,1727,166,2376
